code,company,start,end,count of date points
300090,盛运环保,2019-1-30,2017-5-17,3
300104,乐视网,2019-2-14,2017-6-20,19
300575,中旗股份,2019-2-14,2017-12-21,2
002322,理工环科,2019-1-10,2017-7-25,3
600557,康缘药业,2017-7-06,2019-1-10,2
300502,新易盛,2019-2-14,2018-5-30,2
600793,宜宾纸业,2019-1-22,2017-12-6,2
601113,华鼎股份,2019-2-13,2019-1-11,2
002509,天广中茂,2019-2-13,2018-3-6,6
600661,昂立教育,2019-2-13,2018-12-12,2
300232,洲明科技,2018-6-29,2018-1-11,3
601231,环旭电子,2018-3-8,2017-9-22,7
300626,华瑞股份,2018-3-23,2018-4-17,2
002341,新纶科技,2018-2-28,2019-2-14,2
000425,徐工机械,2018-1-31,2016-4-15,2
603517,绝味食品,2019-2-1,2018-4-27,2
300418,昆仑万维,2019-2-1,2017-7-25,2
300618,寒锐钴业,2019-2-1,2018-4-26,3
002143,印纪传媒,2018-2-23,2017-11-17,2
300417,南华仪器,2017-3-15,2019-1-22,2
600845,宝信软件,2019-1-10,2017-6-13,2
601872,招商轮船,2017-9-28,2019-1-22,2
601628,中国人寿,2019-1-30,2018-3-23,3
603168,莎普爱思,2017-12-13,2017-12-21,2
300291,华录百纳,2019-1-30,2018-3-22,3
300219,鸿利智汇,2018-5-7,2017-5-03,2
600079,人福医药,2019-1-30,2017-6-28,5
603717,天域生态,2017-12-15,2018-5-24,2
300400,劲拓股份,2018-4-25,2017-12-15,2
600418,江淮汽车,2018-3-21,2019-2-1,6
000918,嘉凯城,2019-1-30,2017-9-14,2
600525,长园集团,2018-5-11,2017-6-01,2
300362,天翔环境,2019-1-30,2019-1-23,2
000018,神州长城,2019-1-30,2017-8-25,5
000760,斯太尔,2019-1-30,2017-5-23,3
600050,中国联通,2017-10-20,2018-12-20,4
002512,达华智能,2019-1-30,2018-1-18,4
600611,大众交通,2017-12-21,2019-2-14,2
600196,复星医药,2017-6-23,2018-5-10,4
600385,山东金泰,2019-2-13,2018-4-25,2
002329,皇氏集团,2019-1-30,2018-3-16,3
002248,华东数控,2019-1-30,2018-5-9,2
002070,*ST众和,2019-1-30,2017-12-21,5
002005,德豪润达,2019-1-30,2016-4-15,3
300560,中富通,2018-4-19,2017-12-14,4
002052,同洲电子,2019-1-30,2018-12-20,2
300448,浩云科技,2018-4-18,2019-1-17,2
300111,向日葵,2019-1-30,2018-12-13,2
002474,榕基软件,2018-12-20,2017-11-22,2
300337,银邦股份,2019-1-23,2017-6-22,2
603029,天鹅股份,2019-1-23,2018-4-10,2
002783,凯龙股份,2018-1-10,2019-1-10,3
