code,company,start,end,count of date points
300090,盛运环保,2019-02-14,2018-02-28,10
600401,海润光伏,2019-02-14,2019-02-14,1
300104,乐视网,2019-02-14,2017-09-22,32
000601,韶能股份,2019-02-14,2017-09-07,2
600687,刚泰控股,2019-02-14,2017-05-23,5
603508,思维列控,2019-02-14,2018-03-8,4
300017,网宿科技,2019-02-14,2017-09-15,4
300575,中旗股份,2019-02-14,2017-12-21,2
000675,ST银山,2019-02-14,2017-12-14,3
300522,世名科技,2019-02-14,2018-01-10,4
600627,上电股份,2019-02-14,2019-02-14,1
300567,精测电子,2019-02-14,2018-03-29,3
300473,德尔股份,2019-02-14,2017-06-23,3
002322,理工环科,2019-02-14,2017-07-25,4
600596,新安股份,2019-02-14,2018-01-8,3
603218,日月股份,2019-02-14,2019-02-14,1
600557,康缘药业,2019-02-14,2019-01-10,3
600002,齐鲁石化,2019-02-14,2019-02-14,1
300716,国立科技,2019-02-14,2019-02-14,1
000526,紫光学大,2019-02-14,2018-01-16,2
002395,双象股份,2019-02-14,2017-05-23,3
300455,康拓红外,2019-02-14,2018-05-29,5
300502,新易盛,2019-02-14,2018-01-30,4
200053,深基地B,2019-02-14,2019-02-14,1
002306,中科云网,2019-02-14,2017-06-16,2
600332,白云山,2019-02-14,2018-12-20,4
300597,吉大通信,2019-02-14,2019-02-14,1
002080,中材科技,2019-02-14,2018-03-22,2
002856,美芝股份,2019-02-14,2018-06-5,3
159922,500ETF,2019-02-14,2018-01-8,4
300554,三超新材,2019-02-14,2018-01-18,3
600793,宜宾纸业,2019-02-14,2018-04-11,6
601113,华鼎股份,2019-02-13,2017-08-25,4
600129,太极集团,2019-02-13,2016-04-13,5
000605,渤海股份,2019-02-13,2019-02-13,1
000666,经纬纺机,2019-02-13,2018-01-10,3
603858,步长制药,2019-02-13,2018-05-17,3
603100,川仪股份,2019-02-13,2019-02-13,1
002509,天广中茂,2019-02-13,2018-03-6,8
600101,明星电力,2019-02-13,2016-04-07,3
603158,腾龙股份,2019-02-13,2016-05-24,4
603298,杭叉集团,2019-02-13,2019-02-13,1
512210,景顺食品,2019-02-13,2017-11-09,3
600661,昂立教育,2019-02-13,2018-12-12,2
300232,洲明科技,2019-02-13,2018-01-11,4
600881,亚泰集团,2019-02-13,2018-01-30,3
200002,万科B,2019-02-13,2019-02-13,1
601231,环旭电子,2019-02-13,2017-09-22,9
300390,天华超净,2019-02-13,2017-06-15,4
300626,华瑞股份,2019-02-13,2018-04-17,5
300653,正海生物,2019-02-13,2018-05-29,2
603222,济民制药,2019-02-13,2018-06-29,4
002094,青岛金王,2019-02-13,2018-01-11,2
150047,银华消费A,2019-02-13,2018-03-8,3
600610,*ST毅达,2019-02-13,2019-02-13,1
002341,新纶科技,2019-02-13,2017-07-27,7
002531,天顺风能,2019-02-13,2018-03-9,5
002367,康力电梯,2019-02-13,2018-03-8,2
000810,创维数字,2019-02-13,2018-04-9,4
000631,顺发恒业,2019-02-13,2018-03-27,4
900913,国新B股,2019-02-13,2019-02-13,1
000716,黑芝麻,2019-02-13,2018-01-8,4
603707,健友股份,2019-02-1,2018-04-17,2
000425,徐工机械,2019-02-1,2016-04-15,3
603517,绝味食品,2019-02-1,2018-04-27,3
002105,信隆健康,2019-02-1,2017-10-20,3
603117,万林股份,2019-02-1,2019-02-1,1
300418,昆仑万维,2019-02-1,2018-06-7,5
600746,江苏索普,2019-02-1,2019-01-10,4
000909,数源科技,2019-02-1,2019-02-1,1
300618,寒锐钴业,2019-02-1,2018-04-26,5
600486,扬农化工,2019-02-1,2017-04-28,4
300342,天银机电,2019-02-1,2017-10-09,2
002143,印纪传媒,2019-02-1,2017-11-17,5
300417,南华仪器,2019-02-1,2019-01-22,4
002417,深南股份,2019-02-1,2018-03-27,2
002029,七匹狼,2019-02-1,2017-08-14,2
300091,金通灵,2019-02-1,2017-07-06,3
002347,泰尔股份,2019-02-1,2018-03-13,2
002249,大洋电机,2019-02-1,2017-06-21,5
600721,百花村,2019-02-1,2018-02-23,3
300644,南京聚隆,2019-02-1,2019-02-1,1
600845,宝信软件,2019-02-1,2017-06-13,4
601872,招商轮船,2019-02-1,2019-01-22,6
601628,中国人寿,2019-01-30,2017-10-17,8
300261,雅本化学,2019-01-30,2017-06-20,4
502055,券商B,2019-01-30,2017-07-05,3
200570,苏常柴B,2019-01-30,2017-10-12,3
300750,宁德时代,2019-01-30,2019-01-30,1
603168,莎普爱思,2019-01-30,2017-12-21,5
600556,ST慧球,2019-01-30,2017-07-20,3
038015,盐湖YHP1,2019-01-30,2019-01-30,1
300291,华录百纳,2019-01-30,2018-03-22,4
603998,方盛制药,2019-01-30,2017-07-27,3
000153,丰原药业,2019-01-30,2018-05-15,2
300219,鸿利智汇,2019-01-30,2018-03-9,4
000915,山大华特,2019-01-30,2017-07-28,2
601601,中国太保,2019-01-30,2017-10-18,5
002486,嘉麟杰,2019-01-30,2018-01-15,2
600079,人福医药,2019-01-30,2017-10-10,8
600362,江西铜业,2019-01-30,2018-03-29,3
300149,量子高科,2019-01-30,2018-04-26,2
900949,东电B股,2019-01-30,2018-05-30,2
603717,天域生态,2019-01-30,2017-11-22,8
150306,养老B,2019-01-30,2019-01-30,1
600117,西宁特钢,2019-01-30,2018-04-10,2
300400,劲拓股份,2019-01-30,2017-12-15,4
600418,江淮汽车,2019-01-30,2019-02-1,10
150237,环保A级,2019-01-30,2017-06-15,2
000918,嘉凯城,2019-01-30,2018-03-26,3
300225,金力泰,2019-01-30,2017-05-03,3
150221,中航军A,2019-01-30,2017-10-17,2
600525,长园集团,2019-01-30,2017-06-01,6
300362,天翔环境,2019-01-30,2018-02-23,4
600466,蓝光发展,2019-01-30,2018-01-8,2
000541,佛山照明,2019-01-30,2017-11-17,6
000971,高升控股,2019-01-30,2019-01-30,1
603429,集友股份,2019-01-30,2017-08-10,3
501021,香港中小,2019-01-30,2018-03-23,2
300273,和佳股份,2019-01-30,2018-05-10,2
150323,环保A端,2019-01-30,2017-07-07,2
000018,神州长城,2019-01-30,2018-04-13,11
600217,中再资环,2019-01-30,2019-01-30,1
600459,贵研铂业,2019-01-30,2017-10-20,3
502042,上50B,2019-01-30,2017-05-27,2
002598,山东章鼓,2019-01-30,2018-12-13,2
000612,焦作万方,2019-01-30,2017-11-09,4
000760,斯太尔,2019-01-30,2017-05-23,4
000045,深纺织A,2019-01-30,2018-01-10,4
000668,荣丰控股,2019-01-30,2018-03-29,2
600050,中国联通,2019-01-30,2017-08-23,12
002210,飞马国际,2019-01-30,2018-03-16,2
600744,华银电力,2019-01-30,2019-01-30,1
300135,宝利国际,2019-01-30,2018-05-25,2
600754,锦江股份,2019-01-30,2019-01-30,1
200596,古井贡B,2019-01-30,2018-04-28,2
002762,金发拉比,2019-01-30,2017-08-18,4
002512,达华智能,2019-01-30,2018-01-18,6
150344,证券B端,2019-01-30,2017-09-28,2
002693,双成药业,2019-01-30,2017-12-13,4
600611,大众交通,2019-01-30,2019-02-14,3
600196,复星医药,2019-01-30,2018-03-27,9
002668,奥马电器,2019-01-30,2018-04-20,7
600385,山东金泰,2019-01-30,2017-07-21,6
002502,骅威文化,2019-01-30,2018-06-5,5
601388,怡球资源,2019-01-30,2018-05-22,2
002519,银河电子,2019-01-30,2017-12-21,3
002329,皇氏集团,2019-01-30,2018-03-16,4
002248,华东数控,2019-01-30,2018-04-26,3
603611,诺力股份,2019-01-30,2018-03-28,2
600027,华电国际,2019-01-30,2018-04-28,3
002070,*ST众和,2019-01-30,2017-12-21,7
150064,同瑞A,2019-01-30,2019-01-30,1
300590,移为通信,2019-01-30,2018-04-19,3
900951,大化B股,2019-01-30,2018-01-31,2
600982,宁波热电,2019-01-30,2019-01-30,1
203008,0501R028,2019-01-30,2018-01-15,2
150227,鹏华银行A,2019-01-30,2019-01-30,1
002005,德豪润达,2019-01-30,2016-04-15,4
159908,深F200,2019-01-30,2019-01-30,1
300560,中富通,2019-01-30,2017-12-12,9
300194,福安药业,2019-01-30,2017-07-27,2
600395,盘江股份,2019-01-30,2017-08-29,4
002150,通润装备,2019-01-30,2018-01-8,3
002101,广东鸿图,2019-01-30,2018-05-18,2
002137,麦达数字,2019-01-30,2019-01-30,1
511690,交易货币,2019-01-30,2019-01-30,1
900925,机电B股,2019-01-30,2017-08-10,2
300449,汉邦高科,2019-01-30,2017-07-13,4
002113,天润数娱,2019-01-30,2018-04-17,4
165528,鼎利定增,2019-01-30,2018-05-23,2
002052,同洲电子,2019-01-30,2018-12-20,4
600663,陆家嘴,2019-01-30,2017-12-19,4
150142,互利债B,2019-01-30,2018-04-24,3
002178,延华智能,2019-01-30,2017-05-26,3
300448,浩云科技,2019-01-30,2019-01-17,5
000037,*ST南电A,2019-01-30,2018-03-23,2
300111,向日葵,2019-01-30,2018-12-13,2
165806,东吴100,2019-01-30,2019-01-30,1
600162,香江控股,2019-01-30,2017-12-15,5
002896,中大力德,2019-01-30,2017-09-13,2
600321,国栋建设,2019-01-30,2019-01-30,1
300517,海波重科,2019-01-30,2017-06-27,2
002806,华锋股份,2019-01-30,2017-12-6,5
002474,榕基软件,2019-01-30,2017-11-22,5
002751,易尚展示,2019-01-30,2019-01-30,1
300510,金冠电气,2019-01-30,2017-07-31,3
511880,银华日利,2019-01-30,2018-05-9,2
300337,银邦股份,2019-01-23,2017-06-22,2
150018,银华稳进,2019-01-23,2017-10-17,2
002337,赛象科技,2019-01-23,2018-03-30,2
603029,天鹅股份,2019-01-23,2018-04-10,2
511910,融通货币,2019-01-23,2018-04-28,2
300310,宜通世纪,2019-01-23,2017-09-20,2
203009,0501R091,2019-01-23,2017-05-31,4
600641,万业企业,2019-01-23,2017-08-18,3
300243,瑞丰高材,2019-01-23,2017-11-20,3
002783,凯龙股份,2019-01-23,2019-01-10,6
300192,科斯伍德,2019-01-23,2018-03-21,4
300100,双林股份,2019-01-23,2016-05-19,2
002732,燕塘乳业,2019-01-23,2017-11-30,2
000880,潍柴重机,2019-01-23,2018-04-12,3
600256,广汇能源,2019-01-23,2018-04-11,6
603958,哈森股份,2019-01-23,2018-03-13,4
300029,天龙光电,2019-01-23,2017-09-06,5
002738,中矿资源,2019-01-23,2019-01-11,2
300603,立昂技术,2019-01-23,2018-05-3,4
600522,中天科技,2019-01-23,2017-10-18,3
300306,远方信息,2019-01-23,2017-09-07,2
150038,万家利B,2019-01-23,2019-01-23,1
000550,江铃汽车,2019-01-23,2018-01-16,5
300373,扬杰科技,2019-01-23,2017-09-28,2
603929,亚翔集成,2019-01-23,2017-11-30,5
300558,贝达药业,2019-01-23,2017-11-08,2
300349,金卡智能,2019-01-23,2017-10-11,3
600086,东方金钰,2019-01-23,2019-01-23,1
002108,沧州明珠,2019-01-23,2018-01-30,5
