date, count
2018-01-01,2
2018-01-02,14
2018-01-03,21
2018-01-04,4
2018-01-05,8
2018-01-06,4
2018-01-07,2
2018-01-08,2
2018-01-09,11
2018-01-10,10
2018-01-11,7
2018-01-12,12
2018-01-13,1
2018-01-14,2
2018-01-16,7
2018-01-17,7
2018-01-18,41
2018-01-19,34
2018-01-20,6
2018-01-21,9
2018-01-22,13
2018-01-23,15
2018-01-24,10
2018-01-25,12
2018-01-26,11
2018-01-27,2
2018-01-28,2
2018-01-29,16
2018-01-30,38
2018-01-31,27
2018-02-01,14
2018-02-02,43
2018-02-03,4
2018-02-05,12
2018-02-06,2
2018-02-07,6
2018-02-08,11
2018-02-09,31
2018-02-10,9
2018-02-12,16
2018-02-13,7
2018-02-14,12
2018-02-15,10
2018-02-16,12
2018-02-20,15
2018-02-21,18
2018-02-22,22
2018-02-23,9
2018-02-24,1
2018-02-26,3
2018-02-27,28
2018-02-28,27
2018-03-01,15
2018-03-02,7
2018-03-03,5
2018-03-04,4
2018-03-05,10
2018-03-06,15
2018-03-07,17
2018-03-08,13
2018-03-09,15
2018-03-10,2
2018-03-11,2
2018-03-12,4
2018-03-13,19
2018-03-14,9
2018-03-15,28
2018-03-16,5
2018-03-17,1
2018-03-19,12
2018-03-20,31
2018-03-21,7
2018-03-22,4
2018-03-23,2
2018-03-26,6
2018-03-27,20
2018-03-28,32
2018-03-29,33
2018-03-30,18
2018-03-31,10
2018-04-01,1
2018-04-02,23
2018-04-03,35
2018-04-04,30
2018-04-05,24
2018-04-06,25
2018-04-07,1
2018-04-08,1
2018-04-09,6
2018-04-10,4
2018-04-11,7
2018-04-12,13
2018-04-13,15
2018-04-14,6
2018-04-15,3
2018-04-16,14
2018-04-17,17
2018-04-18,24
2018-04-19,40
2018-04-20,15
2018-04-21,3
2018-04-22,6
2018-04-23,16
2018-04-24,2
2018-04-25,21
2018-04-26,33
2018-04-27,71
2018-04-28,11
2018-04-30,9
2018-05-01,12
2018-05-02,22
2018-05-03,17
2018-05-04,5
2018-05-05,6
2018-05-06,7
2018-05-07,12
2018-05-08,14
2018-05-09,25
2018-05-10,19
2018-05-11,10
2018-05-12,3
2018-05-14,9
2018-05-15,31
2018-05-16,22
2018-05-17,8
2018-05-18,5
2018-05-19,5
2018-05-20,1
2018-05-21,6
2018-05-22,22
2018-05-23,14
2018-05-24,13
2018-05-25,13
2018-05-26,6
2018-05-27,2
2018-05-28,1
2018-05-29,4
2018-05-30,10
2018-05-31,9
2018-06-01,1
