datetime,open,high,low,close,volume
11/1/17 5:00,83.68,83.76,82.88,83.18,22307371
11/2/17 5:00,83.35,84.46,83.12,84.05,23992945
11/3/17 5:00,84.08,84.54,83.4,84.14,17633543
11/6/17 6:00,84.2,84.7,84.0825,84.47,19860852
11/7/17 6:00,84.77,84.9,83.93,84.27,17939727
11/8/17 6:00,84.14,84.61,83.83,84.56,18034170
11/9/17 6:00,84.11,84.27,82.9,84.09,21178356
11/10/17 6:00,83.79,84.095,83.23,83.87,19397793
11/13/17 6:00,83.66,83.94,83.46,83.93,14196896
11/14/17 6:00,83.5,84.1,82.98,84.05,18801280
11/15/17 6:00,83.47,83.69,82.69,82.98,19383102
11/16/17 6:00,83.1,83.42,82.94,83.2,20962750
11/17/17 6:00,83.12,83.12,82.24,82.4,22078993
11/20/17 6:00,82.4,82.59,82.25,82.53,16314978
11/21/17 6:00,82.74,83.84,82.74,83.72,21237454
11/22/17 6:00,83.83,83.9,83.04,83.11,20553089
11/24/17 6:00,83.01,83.43,82.78,83.26,7425603
11/27/17 6:00,83.31,83.98,83.3,83.87,18265242
11/28/17 6:00,84.07,85.06,84.02,84.88,21925959
11/29/17 6:00,84.71,84.9172,83.175,83.34,27381109
11/30/17 6:00,83.51,84.52,83.34,84.17,33054647
12/1/17 6:00,83.6,84.81,83.22,84.26,29532132
12/4/17 6:00,84.42,84.4299,80.7,81.08,39094880
12/5/17 6:00,81.34,82.68,80.9801,81.59,26152261
12/6/17 6:00,81.55,83.14,81.43,82.78,26162054
12/7/17 6:00,82.54,82.8,82,82.49,23184547
12/8/17 6:00,83.63,84.58,83.33,84.16,24489106
12/11/17 6:00,84.29,85.37,84.12,85.23,22857854
12/12/17 6:00,85.31,86.05,85.08,85.58,23924105
12/13/17 6:00,85.74,86,85.17,85.35,22062679
12/14/17 6:00,85.43,85.8739,84.53,84.69,19305961
12/15/17 6:00,85.26,87.09,84.88,86.85,53936687
12/18/17 6:00,87.12,87.4999,86.23,86.38,22283752
12/19/17 6:00,86.35,86.35,85.27,85.83,23524787
12/20/17 6:00,86.2,86.3,84.71,85.52,23674931
12/21/17 6:00,86.05,86.1,85.4,85.5,17990745
12/22/17 6:00,85.4,85.63,84.92,85.51,14145841
12/26/17 6:00,85.31,85.5346,85.03,85.4,9891237
12/27/17 6:00,85.65,85.98,85.215,85.71,14678025
12/28/17 6:00,85.9,85.93,85.55,85.72,10594344
12/29/17 6:00,85.63,86.05,85.5,85.54,18717406
1/2/18 6:00,86.125,86.31,85.5,85.95,22483797
1/3/18 6:00,86.055,86.51,85.97,86.35,26061439
1/4/18 6:00,86.59,87.66,86.57,87.11,21911974
1/5/18 6:00,87.66,88.41,87.43,88.19,23407110
1/8/18 6:00,88.2,88.58,87.6046,88.28,22113049
1/9/18 6:00,88.65,88.7272,87.86,88.22,19484317
1/10/18 6:00,87.86,88.19,87.41,87.82,18652201
1/11/18 6:00,88.13,88.13,87.24,88.08,17808877
1/12/18 6:00,88.67,89.78,88.45,89.6,24271531
1/16/18 6:00,90.1,90.79,88.0104,88.35,36599736
1/17/18 6:00,89.08,90.28,88.75,90.14,25621164
1/18/18 6:00,89.8,90.67,89.66,90.1,24159683
1/19/18 6:00,90.14,90.61,89.66,90,36875013
1/22/18 6:00,90,91.62,89.74,91.61,23601555
1/23/18 6:00,91.9,92.3,91.54,91.9,23412841
1/24/18 6:00,92.55,93.43,91.58,91.82,33277483
1/25/18 6:00,92.465,93.24,91.93,92.33,26383238
1/26/18 6:00,93.12,94.06,92.58,94.06,29172167
1/29/18 6:00,95.14,95.45,93.72,93.92,31569940
1/30/18 6:00,93.3,93.66,92.1,92.74,38635053
1/31/18 6:00,93.75,95.4,93.51,95.01,48756338
2/1/18 6:00,94.79,96.07,93.5813,94.26,47227882
2/2/18 6:00,93.64,93.97,91.5,91.78,47867753
2/5/18 6:00,90.56,93.24,88,88,51031465
2/6/18 6:00,86.89,91.475,85.25,91.33,67998564
2/7/18 6:00,90.49,91.77,89.2,89.61,41107592
2/8/18 6:00,89.71,89.875,84.76,85.01,55628657
2/9/18 6:00,86.3,88.93,83.83,88.18,63499065
2/12/18 6:00,88.735,89.78,87.9295,89.13,35720341
2/13/18 6:00,88.93,90,87.8,89.83,26407702
2/14/18 6:00,88.51,90.99,88.41,90.81,34960912
2/15/18 6:00,91.21,92.72,90.62,92.66,27823866
2/16/18 6:00,92.45,93.5,91.8,92,30596919
2/20/18 6:00,91.475,93.06,91.01,92.72,30911725
2/21/18 6:00,92.98,93.3595,91.49,91.49,26922503
2/22/18 6:00,92.05,92.73,91.36,91.73,24392753
2/23/18 6:00,92.75,94.07,92.36,94.06,26329226
2/26/18 6:00,94.4,95.45,94.25,95.42,30199846
2/27/18 6:00,95.74,95.84,94.2,94.2,25869119
2/28/18 6:00,94.84,95.705,93.63,93.77,31167338
3/1/18 6:00,93.99,94.57,91.84,92.85,37135561
3/2/18 6:00,91.58,93.15,90.86,93.05,32830389
3/5/18 6:00,92.34,94.27,92.26,93.64,23901578
3/6/18 6:00,94.34,94.49,92.941,93.32,22175776
3/7/18 6:00,93.16,93.9406,92.43,93.86,26716127
3/8/18 6:00,94.27,95.1,93.765,94.43,25887828
3/9/18 6:00,95.29,96.54,95,96.54,36937254
3/12/18 5:00,96.5,97.21,96.04,96.77,26073742
3/13/18 5:00,97,97.24,93.97,94.41,35387817
3/14/18 5:00,95.12,95.41,93.5,93.85,32131981
3/15/18 5:00,93.53,94.58,92.83,94.18,27610998
3/16/18 5:00,94.68,95.38,93.92,94.6,49081279
3/19/18 5:00,93.74,93.9,92.11,92.89,33344085
3/20/18 5:00,93.05,93.77,93,93.13,23075240
3/21/18 5:00,92.93,94.05,92.21,92.48,24457082
3/22/18 5:00,91.265,91.75,89.66,89.79,38604715
3/23/18 5:00,89.5,90.46,87.08,87.18,44068949
3/26/18 5:00,90.61,94,90.4,93.78,56396780
3/27/18 5:00,94.94,95.139,88.51,89.47,56569011
3/28/18 5:00,89.82,91.23,88.873,89.39,52501146
3/29/18 5:00,90.18,92.29,88.4,91.27,45867548
4/2/18 5:00,90.47,90.88,87.51,88.52,48515417
4/3/18 5:00,89.575,90.05,87.89,89.71,37213837
4/4/18 5:00,87.85,92.76,87.73,92.33,35559956
4/5/18 5:00,92.435,93.065,91.4,92.38,29771881
4/6/18 5:00,91.49,92.46,89.48,90.23,38026000
4/9/18 5:00,91.04,93.17,90.62,90.77,31533943
4/10/18 5:00,92.39,93.28,91.64,92.88,26939883
4/11/18 5:00,92.01,93.29,91.48,91.86,24872110
4/12/18 5:00,92.43,94.16,92.43,93.58,26758879
4/13/18 5:00,94.05,94.18,92.44,93.08,23346063
4/16/18 5:00,94.07,94.66,93.42,94.17,20288083
4/17/18 5:00,95,96.54,94.88,96.07,26771000
4/18/18 5:00,96.22,96.72,95.52,96.44,21043287
4/19/18 5:00,96.44,97.07,95.34,96.11,23552541
4/20/18 5:00,95.91,96.11,94.05,95,31154377
4/23/18 5:00,95.7436,96.29,94.63,95.35,22331829
4/24/18 5:00,96.242,96.47,92.41,93.12,34524799
4/25/18 5:00,93.3,93.3,90.28,92.31,33729257
4/26/18 5:00,93.55,95.15,93.1,94.26,42529043
4/27/18 5:00,97.6,97.9,93.91,95.82,48272780
4/30/18 5:00,96.33,96.3964,93.15,93.52,41523605
5/1/18 5:00,93.21,95.29,92.79,95,31408927
5/2/18 5:00,94.99,95.17,93.19,93.51,27471002
5/3/18 5:00,92.96,94.925,92.45,94.07,31142497
5/4/18 5:00,93.32,95.37,92.92,95.16,22531325
5/7/18 5:00,95.17,96.71,95.1,96.22,24242019
5/8/18 5:00,95.8456,96.16,95.0631,95.81,23484589
5/9/18 5:00,96.01,96.97,95.05,96.94,27327410
5/10/18 5:00,97.46,97.95,97.05,97.91,22388119
5/11/18 5:00,97.8,97.87,97.04,97.7,16778316
5/14/18 5:00,97.92,98.69,97.31,98.03,19454124
5/15/18 5:00,97.24,97.85,96.34,97.32,24594010
5/16/18 5:00,97.36,97.4,96.615,97.15,17384742
5/17/18 5:00,96.76,97.5401,95.83,96.18,17246716
5/18/18 5:00,96.01,96.93,96.01,96.36,17865840
5/21/18 5:00,97,98.01,96.8,97.6,19422467
5/22/18 5:00,97.68,98.17,97.2,97.5,15441189
5/23/18 5:00,96.71,98.73,96.32,98.66,21251222
5/24/18 5:00,98.725,98.94,96.81,98.31,26649287
5/25/18 5:00,98.3,98.98,97.86,98.36,18363918
5/29/18 5:00,97.84,98.88,97.23,98.01,28670981
5/30/18 5:00,98.31,99.25,97.91,98.95,22158528
5/31/18 5:00,99.29,99.99,98.61,98.84,34140891
6/1/18 5:00,99.2798,100.86,99.17,100.79,28655624
6/4/18 5:00,101.26,101.86,100.851,101.67,27281623
6/5/18 5:00,102,102.33,101.53,102.19,23514402
6/6/18 5:00,102.48,102.6,101.9,102.49,21122917
6/7/18 5:00,102.65,102.69,100.38,100.88,28232197
6/8/18 5:00,101.0924,101.95,100.54,101.63,22165128
6/11/18 5:00,101.37,101.59,100.67,101.05,23490894
6/12/18 5:00,101.1,101.4493,100.75,101.31,18325228
6/13/18 5:00,101.72,102.01,100.56,100.85,29492875
6/14/18 5:00,101.65,102.03,101,101.42,25691811
6/15/18 5:00,101.51,101.53,100.07,100.13,65738585
6/18/18 5:00,100.01,101.11,99.42,100.86,23586037
6/19/18 5:00,99.65,101,99.5,100.86,28653087
6/20/18 5:00,101.37,102.52,101.12,101.87,26180792
6/21/18 5:00,102.075,102.46,100.88,101.14,23198188
6/22/18 5:00,100.41,100.77,99.625,100.41,38923105
6/25/18 5:00,100,100.11,97.3,98.39,35433333
