date, count
2017-12-27,1
2018-01-02,11
2018-01-03,14
2018-01-04,5
2018-01-05,28
2018-01-06,8
2018-01-07,1
2018-01-08,30
2018-01-09,19
2018-01-10,22
2018-01-11,5
2018-01-12,8
2018-01-13,7
2018-01-15,5
2018-01-16,6
2018-01-17,33
2018-01-18,51
2018-01-19,20
2018-01-20,4
2018-01-21,1
2018-01-22,9
2018-01-23,19
2018-01-24,31
2018-01-25,16
2018-01-26,6
2018-01-27,3
2018-01-28,4
2018-01-29,46
2018-01-30,42
2018-01-31,14
2018-02-01,19
2018-02-02,49
2018-02-03,6
2018-02-04,6
2018-02-05,18
2018-02-06,32
2018-02-07,23
2018-02-08,4
2018-02-09,8
2018-02-10,4
2018-02-11,9
2018-02-12,18
2018-02-13,19
2018-02-14,14
2018-02-15,16
2018-02-16,9
2018-02-17,1
2018-02-18,1
2018-02-19,2
2018-02-20,10
2018-02-21,10
2018-02-22,14
2018-02-23,8
2018-02-24,13
2018-02-25,1
2018-02-26,22
2018-02-27,15
2018-02-28,5
2018-03-01,10
2018-03-02,3
2018-03-03,5
2018-03-04,1
2018-03-05,4
2018-03-06,5
2018-03-07,3
2018-03-08,9
2018-03-09,5
2018-03-10,3
2018-03-11,2
2018-03-12,15
2018-03-13,17
2018-03-14,15
2018-03-15,5
2018-03-16,8
2018-03-17,3
2018-03-18,1
2018-03-19,15
2018-03-20,11
2018-03-21,6
2018-03-22,3
2018-03-23,5
2018-03-24,11
2018-03-25,1
2018-03-26,9
2018-03-27,27
2018-03-28,24
2018-03-29,10
2018-03-30,5
2018-03-31,2
2018-04-02,11
2018-04-03,18
2018-04-04,18
2018-04-05,6
2018-04-06,8
2018-04-07,5
2018-04-08,1
2018-04-09,12
2018-04-10,12
2018-04-11,9
2018-04-12,6
2018-04-13,7
2018-04-14,1
2018-04-15,1
2018-04-16,5
2018-04-17,8
2018-04-18,4
2018-04-19,20
2018-04-20,21
2018-04-21,6
2018-04-22,1
2018-04-23,16
2018-04-24,5
2018-04-25,18
2018-04-26,14
2018-04-27,13
2018-04-28,10
2018-04-30,12
2018-05-01,62
2018-05-02,67
2018-05-03,10
2018-05-04,43
2018-05-05,11
2018-05-06,8
2018-05-07,25
2018-05-08,12
2018-05-09,10
2018-05-10,22
2018-05-11,20
2018-05-12,6
2018-05-13,1
2018-05-14,19
2018-05-15,7
2018-05-16,12
2018-05-17,11
2018-05-18,7
2018-05-19,1
2018-05-21,5
2018-05-22,4
2018-05-23,8
2018-05-24,11
2018-05-25,27
2018-05-26,3
2018-05-28,2
2018-05-29,11
2018-05-30,8
2018-05-31,9
2018-06-01,1
