date, count
2018-01-01,2
2018-01-02,3
2018-01-03,12
2018-01-04,8
2018-01-05,9
2018-01-06,5
2018-01-07,2
2018-01-08,6
2018-01-09,9
2018-01-10,5
2018-01-11,9
2018-01-12,11
2018-01-13,2
2018-01-14,1
2018-01-15,4
2018-01-16,15
2018-01-17,12
2018-01-18,7
2018-01-19,7
2018-01-20,5
2018-01-22,6
2018-01-23,13
2018-01-24,12
2018-01-25,6
2018-01-26,3
2018-01-27,2
2018-01-28,3
2018-01-29,3
2018-01-30,8
2018-01-31,10
2018-02-01,13
2018-02-02,9
2018-02-03,1
2018-02-04,3
2018-02-05,2
2018-02-06,4
2018-02-07,15
2018-02-08,12
2018-02-09,7
2018-02-10,1
2018-02-12,6
2018-02-13,9
2018-02-14,11
2018-02-15,18
2018-02-16,9
2018-02-17,1
2018-02-18,2
2018-02-20,3
2018-02-21,7
2018-02-22,1
2018-02-23,9
2018-02-24,1
2018-02-25,1
2018-02-26,2
2018-02-27,21
2018-02-28,11
2018-03-01,9
2018-03-02,4
2018-03-03,1
2018-03-04,1
2018-03-05,4
2018-03-06,6
2018-03-07,4
2018-03-08,6
2018-03-09,9
2018-03-10,3
2018-03-12,1
2018-03-13,9
2018-03-14,35
2018-03-15,5
2018-03-16,2
2018-03-18,1
2018-03-19,18
2018-03-20,13
2018-03-21,11
2018-03-22,3
2018-03-23,4
2018-03-25,1
2018-03-26,7
2018-03-27,19
2018-03-28,12
2018-03-29,3
2018-03-30,6
2018-03-31,5
2018-04-01,1
2018-04-03,5
2018-04-04,11
2018-04-05,4
2018-04-07,2
2018-04-08,2
2018-04-09,4
2018-04-10,12
2018-04-11,3
2018-04-12,12
2018-04-13,4
2018-04-14,5
2018-04-15,2
2018-04-16,10
2018-04-17,14
2018-04-18,6
2018-04-19,4
2018-04-20,1
2018-04-21,2
2018-04-22,2
2018-04-23,5
2018-04-24,2
2018-04-25,10
2018-04-26,6
2018-04-27,5
2018-04-28,6
2018-04-30,15
2018-05-01,7
2018-05-02,6
2018-05-03,4
2018-05-04,5
2018-05-05,3
2018-05-06,2
2018-05-07,7
2018-05-08,31
2018-05-09,23
2018-05-10,8
2018-05-11,3
2018-05-12,3
2018-05-13,2
2018-05-14,1
2018-05-15,10
2018-05-16,2
2018-05-17,6
2018-05-18,7
2018-05-19,3
2018-05-21,10
2018-05-22,4
2018-05-23,10
2018-05-24,5
2018-05-25,6
2018-05-26,4
2018-05-29,3
2018-05-30,4
2018-05-31,9
2018-06-01,1
