date, count
2018-01-02,3
2018-01-03,2
2018-01-04,10
2018-01-05,5
2018-01-07,1
2018-01-08,7
2018-01-09,5
2018-01-10,4
2018-01-11,1
2018-01-12,46
2018-01-13,19
2018-01-15,4
2018-01-16,6
2018-01-17,11
2018-01-18,5
2018-01-19,5
2018-01-20,5
2018-01-21,6
2018-01-22,17
2018-01-23,25
2018-01-24,7
2018-01-25,10
2018-01-26,13
2018-01-27,3
2018-01-28,1
2018-01-29,16
2018-01-30,16
2018-01-31,27
2018-02-01,32
2018-02-02,6
2018-02-03,1
2018-02-04,1
2018-02-05,9
2018-02-06,9
2018-02-07,4
2018-02-08,6
2018-02-09,11
2018-02-12,13
2018-02-13,13
2018-02-14,4
2018-02-15,15
2018-02-16,9
2018-02-17,8
2018-02-18,4
2018-02-19,5
2018-02-20,7
2018-02-21,7
2018-02-22,7
2018-02-23,2
2018-02-24,2
2018-02-25,2
2018-02-26,7
2018-02-27,8
2018-02-28,14
2018-03-01,22
2018-03-02,8
2018-03-04,1
2018-03-05,4
2018-03-06,12
2018-03-07,13
2018-03-08,2
2018-03-09,7
2018-03-10,5
2018-03-12,5
2018-03-13,2
2018-03-14,8
2018-03-15,9
2018-03-16,2
2018-03-17,18
2018-03-18,17
2018-03-19,79
2018-03-20,116
2018-03-21,90
2018-03-22,78
2018-03-23,40
2018-03-24,37
2018-03-25,21
2018-03-26,72
2018-03-27,74
2018-03-28,79
2018-03-29,53
2018-03-30,22
2018-03-31,6
2018-04-01,5
2018-04-02,12
2018-04-03,15
2018-04-04,51
2018-04-05,62
2018-04-06,64
2018-04-07,10
2018-04-08,11
2018-04-09,55
2018-04-10,107
2018-04-11,99
2018-04-12,58
2018-04-13,26
2018-04-14,17
2018-04-15,12
2018-04-16,27
2018-04-17,42
2018-04-18,24
2018-04-19,27
2018-04-20,22
2018-04-21,3
2018-04-22,5
2018-04-23,19
2018-04-24,3
2018-04-25,29
2018-04-26,79
2018-04-27,11
2018-04-28,5
2018-04-29,1
2018-04-30,8
2018-05-01,73
2018-05-02,49
2018-05-03,15
2018-05-04,7
2018-05-05,4
2018-05-06,3
2018-05-07,3
2018-05-08,12
2018-05-09,12
2018-05-10,19
2018-05-11,8
2018-05-12,3
2018-05-14,14
2018-05-15,17
2018-05-16,19
2018-05-17,16
2018-05-18,18
2018-05-19,6
2018-05-20,1
2018-05-21,8
2018-05-22,52
2018-05-23,23
2018-05-24,22
2018-05-25,13
2018-05-28,2
2018-05-29,1
2018-05-30,16
2018-05-31,9
