date, count
2018-01-02,1
2018-01-03,24
2018-01-04,23
2018-01-05,25
2018-01-06,2
2018-01-08,11
2018-01-09,18
2018-01-10,10
2018-01-11,8
2018-01-12,11
2018-01-13,1
2018-01-14,1
2018-01-15,1
2018-01-16,4
2018-01-17,14
2018-01-18,12
2018-01-19,4
2018-01-22,7
2018-01-23,7
2018-01-24,7
2018-01-25,21
2018-01-26,34
2018-01-27,5
2018-01-28,2
2018-01-29,8
2018-01-30,9
2018-01-31,18
2018-02-01,4
2018-02-02,5
2018-02-03,3
2018-02-04,2
2018-02-05,8
2018-02-06,8
2018-02-07,5
2018-02-08,6
2018-02-09,2
2018-02-11,3
2018-02-12,6
2018-02-13,26
2018-02-14,9
2018-02-15,2
2018-02-16,8
2018-02-17,2
2018-02-20,3
2018-02-21,16
2018-02-22,11
2018-02-23,6
2018-02-24,2
2018-02-25,3
2018-02-26,4
2018-02-27,11
2018-02-28,5
2018-03-01,7
2018-03-02,1
2018-03-03,2
2018-03-04,1
2018-03-05,4
2018-03-06,14
2018-03-07,6
2018-03-08,3
2018-03-09,5
2018-03-10,14
2018-03-11,1
2018-03-12,4
2018-03-13,10
2018-03-14,5
2018-03-15,7
2018-03-16,3
2018-03-17,4
2018-03-19,5
2018-03-20,8
2018-03-21,6
2018-03-22,3
2018-03-23,4
2018-03-24,1
2018-03-26,18
2018-03-27,5
2018-03-28,9
2018-03-29,12
2018-03-30,3
2018-03-31,1
2018-04-02,11
2018-04-03,13
2018-04-04,4
2018-04-05,6
2018-04-06,1
2018-04-09,4
2018-04-10,2
2018-04-11,11
2018-04-12,5
2018-04-13,9
2018-04-14,5
2018-04-15,1
2018-04-16,5
2018-04-17,2
2018-04-18,5
2018-04-19,8
2018-04-20,1
2018-04-23,1
2018-04-24,1
2018-04-25,5
2018-04-26,21
2018-04-27,29
2018-04-28,4
2018-04-30,6
2018-05-01,7
2018-05-02,6
2018-05-03,6
2018-05-04,2
2018-05-07,4
2018-05-08,5
2018-05-09,10
2018-05-10,7
2018-05-11,6
2018-05-14,3
2018-05-15,7
2018-05-16,12
2018-05-17,7
2018-05-18,1
2018-05-21,5
2018-05-22,9
2018-05-23,4
2018-05-24,7
2018-05-25,2
2018-05-26,2
2018-05-29,5
2018-05-30,7
2018-05-31,2
