date, count
2018-01-02,3
2018-01-03,3
2018-01-04,1
2018-01-05,1
2018-01-06,1
2018-01-08,1
2018-01-09,11
2018-01-10,1
2018-01-11,4
2018-01-13,1
2018-01-17,2
2018-01-18,2
2018-01-22,5
2018-01-23,4
2018-01-24,4
2018-01-25,1
2018-01-26,1
2018-01-29,2
2018-01-30,6
2018-01-31,14
2018-02-01,15
2018-02-02,6
2018-02-03,1
2018-02-06,2
2018-02-07,7
2018-02-08,2
2018-02-09,1
2018-02-13,4
2018-02-15,1
2018-02-20,1
2018-02-23,1
2018-02-25,3
2018-02-26,4
2018-02-27,9
2018-02-28,3
2018-03-01,4
2018-03-02,3
2018-03-05,4
2018-03-06,7
2018-03-08,2
2018-03-11,2
2018-03-12,2
2018-03-13,12
2018-03-14,2
2018-03-15,3
2018-03-16,6
2018-03-17,2
2018-03-19,4
2018-03-20,4
2018-03-22,3
2018-03-26,4
2018-03-27,3
2018-03-28,2
2018-03-29,16
2018-03-30,4
2018-04-01,1
2018-04-02,2
2018-04-03,2
2018-04-04,4
2018-04-05,4
2018-04-06,1
2018-04-07,1
2018-04-09,1
2018-04-10,1
2018-04-13,5
2018-04-16,1
2018-04-17,13
2018-04-18,3
2018-04-19,3
2018-04-20,5
2018-04-24,2
2018-04-25,5
2018-04-26,7
2018-04-27,19
2018-04-28,6
2018-04-29,1
2018-04-30,4
2018-05-01,5
2018-05-02,4
2018-05-03,1
2018-05-04,1
2018-05-06,1
2018-05-07,9
2018-05-08,5
2018-05-09,1
2018-05-10,1
2018-05-12,1
2018-05-16,7
2018-05-17,7
2018-05-18,1
2018-05-19,1
2018-05-21,3
2018-05-22,4
2018-05-23,2
2018-05-24,3
2018-05-25,1
2018-05-29,2
2018-05-30,9
2018-05-31,1
