date, count
2017-12-27,1
2018-01-02,2
2018-01-03,10
2018-01-04,18
2018-01-06,2
2018-01-08,4
2018-01-09,5
2018-01-10,1
2018-01-11,1
2018-01-12,1
2018-01-13,1
2018-01-16,2
2018-01-17,2
2018-01-18,4
2018-01-19,1
2018-01-21,1
2018-01-22,2
2018-01-23,17
2018-01-24,13
2018-01-25,6
2018-01-26,4
2018-01-27,2
2018-01-29,2
2018-01-30,7
2018-01-31,2
2018-02-01,8
2018-02-02,6
2018-02-03,1
2018-02-05,7
2018-02-06,2
2018-02-07,25
2018-02-08,38
2018-02-09,1
2018-02-14,1
2018-02-16,5
2018-02-17,5
2018-02-19,1
2018-02-20,3
2018-02-21,1
2018-02-22,2
2018-02-23,2
2018-02-24,4
2018-02-25,1
2018-02-27,1
2018-02-28,3
2018-03-01,2
2018-03-05,1
2018-03-06,3
2018-03-07,3
2018-03-08,5
2018-03-09,16
2018-03-12,6
2018-03-13,8
2018-03-14,6
2018-03-15,6
2018-03-16,1
2018-03-19,3
2018-03-20,6
2018-03-21,15
2018-03-22,5
2018-03-23,4
2018-03-24,3
2018-03-25,1
2018-03-26,3
2018-03-27,11
2018-03-28,36
2018-03-29,23
2018-03-30,14
2018-03-31,11
2018-04-02,29
2018-04-03,34
2018-04-04,6
2018-04-05,10
2018-04-06,4
2018-04-07,1
2018-04-09,4
2018-04-10,11
2018-04-11,21
2018-04-12,18
2018-04-13,18
2018-04-14,3
2018-04-15,3
2018-04-16,4
2018-04-17,22
2018-04-18,19
2018-04-19,10
2018-04-20,6
2018-04-21,3
2018-04-23,2
2018-04-25,4
2018-04-26,13
2018-04-27,7
2018-04-28,1
2018-04-29,1
2018-04-30,3
2018-05-01,2
2018-05-02,16
2018-05-03,74
2018-05-04,17
2018-05-05,1
2018-05-07,3
2018-05-08,2
2018-05-09,12
2018-05-10,18
2018-05-11,12
2018-05-12,7
2018-05-13,8
2018-05-14,34
2018-05-15,33
2018-05-16,19
2018-05-17,18
2018-05-18,4
2018-05-19,6
2018-05-20,1
2018-05-21,15
2018-05-22,24
2018-05-23,22
2018-05-24,9
2018-05-25,20
2018-05-26,13
2018-05-27,1
2018-05-30,21
2018-05-31,2
